ADAMS,Adams (Pob.)
PAOAY,Salbang (Pob.)
PAOAY,San Agustin
PAOAY,San Blas (Pob.)
PAOAY,San Juan
PAOAY,San Pedro
PAOAY,San Roque (Pob.)
PAOAY,Sangladan Pob. (Nalbuan)
PAOAY,Santa Rita (Pob.)
PAOAY,Sideg
PAOAY,Suba
PAOAY,Sungadan
PAOAY,Surgui
PAOAY,Veronica
PASUQUIN,Batuli
PASUQUIN,Binsang
PASUQUIN,Nalvo (Cababaan-Nalvo)
PASUQUIN,Caruan
PASUQUIN,Carusikis
PASUQUIN,Carusipan
PASUQUIN,Dadaeman
PASUQUIN,Darupidip
PASUQUIN,Davila
PASUQUIN,Dilanis
PASUQUIN,Dilavo
PASUQUIN,Estancia
PASUQUIN,Naglicuan
PASUQUIN,Nagsanga
PASUQUIN,Ngabangab
PASUQUIN,Pangil
PASUQUIN,Poblacion 1
PASUQUIN,Poblacion 2
PASUQUIN,Poblacion 3
PASUQUIN,Poblacion 4
PASUQUIN,Pragata (Pragata-Bungro)
PASUQUIN,Puyupuyan
PASUQUIN,Sulongan
PASUQUIN,Salpad
PASUQUIN,San Juan
PASUQUIN,Santa Catalina
PASUQUIN,Santa Matilde
PASUQUIN,Sapat
PASUQUIN,Sulbec
PASUQUIN,Surong
PASUQUIN,Susugaen
PASUQUIN,Tabungao
PASUQUIN,Tadao
PIDDIG,Ab-abut
PIDDIG,Abucay
PIDDIG,Anao (Pob.)
PIDDIG,Arua-ay
PIDDIG,Bimmanga
PIDDIG,Boyboy
PIDDIG,Cabaroan (Pob.)
PIDDIG,Calambeg
PIDDIG,Callusa
PIDDIG,Dupitac
PIDDIG,Estancia
PIDDIG,Gayamat
PIDDIG,Lagandit
PIDDIG,Libnaoan
PIDDIG,Loing (Pob.)
PIDDIG,Maab-abaca
PIDDIG,Mangitayag
PIDDIG,Maruaya
PIDDIG,San Antonio
PIDDIG,Santa Maria
PIDDIG,Sucsuquen
PIDDIG,Tangaoan
PIDDIG,Tonoton
PINILI,Aglipay
PINILI,Apatut-Lubong
PINILI,Badio
PINILI,Barbar
PINILI,Buanga
PINILI,Bulbulala
PINILI,Bungro
PINILI,Cabaroan
PINILI,Capangdanan
PINILI,Dalayap
PINILI,Darat
PINILI,Gulpeng
PINILI,Liliputen
PINILI,Lumbaan-Bicbica
PINILI,Nagtrigoan
PINILI,Pagdilao (Pob.)
PINILI,Pugaoan
PINILI,Puritac
PINILI,Sacritan
PINILI,Salanap
PINILI,Santo Tomas
PINILI,Tartarabang
PINILI,Puzol
PINILI,Upon
PINILI,Valbuena (Pob.)
SAN NICOLAS,San Francisco (Pob.)
SAN NICOLAS,San Ildefonso (Pob.)
SAN NICOLAS,San Agustin
SAN NICOLAS,San Baltazar (Pob.)
SAN NICOLAS,San Bartolome (Pob.)
SAN NICOLAS,San Cayetano (Pob.)
SAN NICOLAS,San Eugenio (Pob.)
SAN NICOLAS,San Fernando (Pob.)
SAN NICOLAS,San Gregorio (Pob.)
SAN NICOLAS,San Guillermo
SAN NICOLAS,San Jose (Pob.)
SAN NICOLAS,San Juan Bautista (Pob.)
SAN NICOLAS,San Lorenzo
SAN NICOLAS,San Lucas (Pob.)
SAN NICOLAS,San Marcos (Payas)
SAN NICOLAS,San Miguel (Pob.)
SAN NICOLAS,San Pablo
SAN NICOLAS,San Paulo (Pob.)
SAN NICOLAS,San Pedro (Bingao)
SAN NICOLAS,San Rufino (Pob.)
SAN NICOLAS,San Silvestre (Pob.)
SAN NICOLAS,Santa Asuncion (Samac)
SAN NICOLAS,Santa Cecilia (Barabar)
SAN NICOLAS,Santa Monica (Nagrebcan)
SARRAT,San Agustin (Pob.)
SARRAT,San Andres
SARRAT,San Antonio
SARRAT,San Bernabe
SARRAT,San Cristobal
SARRAT,San Felipe
SARRAT,San Francisco (Pob.)
SARRAT,San Isidro
SARRAT,San Joaquin (Pob.)
SARRAT,San Jose
SARRAT,San Juan
SARRAT,San Leandro (Pob.)
SARRAT,San Lorenzo
SARRAT,San Manuel
SARRAT,San Marcos
SARRAT,San Nicolas
SARRAT,San Pedro
SARRAT,San Roque
SARRAT,San Vicente (Pob.)
SARRAT,Santa Barbara (Pob.)
SARRAT,Santa Magdalena
SARRAT,Santa Rosa
SARRAT,Santo Santiago
SARRAT,Santo Tomas
SOLSONA,Aguitap
SOLSONA,Bagbag
SOLSONA,Bagbago
SOLSONA,Barcelona
SOLSONA,Bubuos
SOLSONA,Capurictan
SOLSONA,Catangraran
SOLSONA,Darasdas
SOLSONA,Juan (Pob.)
SOLSONA,Laureta (Pob.)
SOLSONA,Lipay
SOLSONA,Maananteng
SOLSONA,Manalpac
SOLSONA,Mariquet
SOLSONA,Nagpatpatan
SOLSONA,Nalasin
SOLSONA,Puttao
SOLSONA,San Juan
SOLSONA,San Julian
SOLSONA,Santa Ana
SOLSONA,Santiago
SOLSONA,Talugtog
VINTAR,Abkir
VINTAR,Alsem
VINTAR,Bago
VINTAR,Bulbulala
VINTAR,Cabangaran
VINTAR,Cabayo
VINTAR,Cabisocolan
VINTAR,Canaam
VINTAR,Columbia
VINTAR,Dagupan
VINTAR,Pedro F. Alviar (Diaton)
VINTAR,Dipilat
VINTAR,Esperanza
VINTAR,Ester
VINTAR,Isic Isic
VINTAR,Lubnac
VINTAR,Mabanbanag
VINTAR,Alejo Malasig
VINTAR,Manarang
VINTAR,Margaay
VINTAR,Namoroc
VINTAR,Malampa (Peninaan-Malampa)
VINTAR,Parparoroc
VINTAR,Parut
VINTAR,Salsalamagui
VINTAR,San Jose (Lipay)
VINTAR,San Nicolas (Pob.)
VINTAR,San Pedro (Pob.)
VINTAR,San Ramon (Pob.)
VINTAR,San Roque (Pob.)
VINTAR,Santa Maria (Pob.)
VINTAR,Tamdagan
VINTAR,Visaya
ALILEM,Alilem Daya (Pob.)
ALILEM,Amilongan
ALILEM,Anaao
ALILEM,Apang
ALILEM,Apaya
ALILEM,Batbato
ALILEM,Daddaay
ALILEM,Dalawa
ALILEM,Kiat
BANAYOYO,Bagbagotot
BANAYOYO,Banbanaal
BANAYOYO,Bisangol
BANAYOYO,Cadanglaan
BANAYOYO,Casilagan Norte
BANAYOYO,Casilagan Sur
BANAYOYO,Elefante
BANAYOYO,Guardia
BANAYOYO,Lintic
BANAYOYO,Lopez
BANAYOYO,Montero
BANAYOYO,Naguimba
BANAYOYO,Pila
BANAYOYO,Poblacion
BANTAY,Aggay
BANTAY,An-annam
BANTAY,Balaleng
BANTAY,Banaoang
BANTAY,Bulag
BANTAY,Buquig
BANTAY,Cabalanggan
BANTAY,Cabaroan
BANTAY,Cabusligan
BANTAY,Capangdanan
BANTAY,Guimod
BANTAY,Lingsat
BANTAY,Malingeb
BANTAY,Mira
BANTAY,Naguiddayan
BANTAY,Ora
BANTAY,Paing
BANTAY,Puspus
BANTAY,Quimmarayan
BANTAY,Sagneb
BANTAY,Sagpat
BANTAY,San Mariano (Sallacong)
BANTAY,San Isidro
BANTAY,San Julian
BANTAY,Sinabaan
BANTAY,Taguiporo
BANTAY,Taleb
BANTAY,Tay-ac
BANTAY,Barangay 1 (Pob.)
BANTAY,Barangay 2 (Pob.)
BANTAY,Barangay 3 (Pob.)
BANTAY,Barangay 4 (Pob.)
BANTAY,Barangay 5 (Pob.)
BANTAY,Barangay 6 (Pob.)
BURGOS,Ambugat
BURGOS,Balugang
BURGOS,Bangbangar
BURGOS,Bessang
BURGOS,Cabcaburao
BURGOS,Cadacad
BURGOS,Callitong
BURGOS,Dayanki
BURGOS,Lesseb
BURGOS,Lubing
BURGOS,Lucaban
BURGOS,Luna
BURGOS,Macaoayan
BURGOS,Mambug
BURGOS,Manaboc
BURGOS,Mapanit
BURGOS,Poblacion Sur (Masingit)
BURGOS,Nagpanaoan
BURGOS,Dirdirig (Dirdirig-Paday)
BURGOS,Paduros
BURGOS,Patac
BURGOS,Poblacion Norte (Bato)
BURGOS,Sabangan Pinggan
BURGOS,Subadi Norte
BURGOS,Subadi Sur
BURGOS,Taliao
CABUGAO,Alinaay
CABUGAO,Aragan
CABUGAO,Arnap
CABUGAO,Baclig (Pob.)
CABUGAO,Bato
CABUGAO,Bonifacio (Pob.)
CABUGAO,Bungro
CABUGAO,Cacadiran
CABUGAO,Caellayan
CABUGAO,Carusipan
CABUGAO,Catucdaan
CABUGAO,Cuancabal
CABUGAO,Cuantacla
CABUGAO,Daclapan
CABUGAO,Dardarat
CABUGAO,Lipit
CABUGAO,Maradodon
CABUGAO,Margaay
CABUGAO,Nagsantaan
CABUGAO,Nagsincaoan
CABUGAO,Namruangan
CABUGAO,Pila
CABUGAO,Pug-os
CABUGAO,Quezon (Pob.)
CABUGAO,Reppaac
CABUGAO,Rizal (Pob.)
CABUGAO,Sabang
CABUGAO,Sagayaden
CABUGAO,Salapasap
CABUGAO,Salomague
CABUGAO,Sisim
CABUGAO,Turod
CABUGAO,Turod-Patac
CITY OF CANDON,Allangigan Primero
CITY OF CANDON,Allangigan Segundo
CITY OF CANDON,Amguid
CITY OF CANDON,Ayudante
CITY OF CANDON,Bagani Camposanto
CITY OF CANDON,Bagani Gabor
CITY OF CANDON,Bagani Tocgo
CITY OF CANDON,Bagani Ubbog
CITY OF CANDON,Bagar
CITY OF CANDON,Balingaoan
CITY OF CANDON,Bugnay
CITY OF CANDON,Calaoaan
CITY OF CANDON,Calongbuyan
CITY OF CANDON,Caterman
CITY OF CANDON,Cubcubboot
CITY OF CANDON,Darapidap
CITY OF CANDON,Langlangca Primero
CITY OF CANDON,Langlangca Segundo
CITY OF CANDON,Oaig-Daya
CITY OF CANDON,Palacapac
CITY OF CANDON,Paras
CITY OF CANDON,Parioc Primero
CITY OF CANDON,Parioc Segundo
CITY OF CANDON,Patpata Primero
CITY OF CANDON,Patpata Segundo
CITY OF CANDON,Paypayad
CITY OF CANDON,Salvador Primero
CITY OF CANDON,Salvador Segundo
CITY OF CANDON,San Agustin
CITY OF CANDON,San Andres
CITY OF CANDON,San Antonio (Pob.)
CITY OF CANDON,San Isidro (Pob.)
CITY OF CANDON,San Jose (Pob.)
CITY OF CANDON,San Juan (Pob.)
CITY OF CANDON,San Nicolas
CITY OF CANDON,San Pedro
CITY OF CANDON,Santo Tomas
CITY OF CANDON,Tablac
CITY OF CANDON,Talogtog
CITY OF CANDON,Tamurong Primero
CITY OF CANDON,Tamurong Segundo
CITY OF CANDON,Villarica
CAOAYAN,Anonang Mayor
CAOAYAN,Anonang Menor
CAOAYAN,Baggoc
CAOAYAN,Callaguip
CAOAYAN,Caparacadan
CAOAYAN,Fuerte
CAOAYAN,Manangat
CAOAYAN,Naguilian
CAOAYAN,Nansuagao
CAOAYAN,Pandan
CAOAYAN,Pantay-Quitiquit
CAOAYAN,Don Dimas Querubin (Pob.)
CAOAYAN,Puro
CAOAYAN,Pantay Tamurong
CAOAYAN,Villamar
CAOAYAN,Don Alejandro Quirolgico (Pob.)
CAOAYAN,Don Lorenzo Querubin (Pob.)
CERVANTES,Aluling
CERVANTES,Comillas North
CERVANTES,Comillas South
CERVANTES,Concepcion (Pob.)
CERVANTES,Dinwede East
CERVANTES,Dinwede West
CERVANTES,Libang
CERVANTES,Pilipil
CERVANTES,Remedios
CERVANTES,Rosario (Pob.)
CERVANTES,San Juan
CERVANTES,San Luis
CERVANTES,Malaya
GALIMUYOD,Abaya
GALIMUYOD,Baracbac
GALIMUYOD,Bidbiday
GALIMUYOD,Bitong
GALIMUYOD,Borobor
GALIMUYOD,Calimugtong
GALIMUYOD,Calongbuyan
GALIMUYOD,Calumbaya
GALIMUYOD,Daldagan
GALIMUYOD,Kilang
GALIMUYOD,Legaspi
GALIMUYOD,Mabayag
GALIMUYOD,Matanubong
GALIMUYOD,Mckinley
GALIMUYOD,Nagsingcaoan
GALIMUYOD,Oaig-Daya
GALIMUYOD,Pagangpang
GALIMUYOD,Patac
GALIMUYOD,Poblacion
GALIMUYOD,Rubio
GALIMUYOD,Sabangan-Bato
GALIMUYOD,Sacaang
GALIMUYOD,San Vicente
GALIMUYOD,Sapang
GREGORIO DEL PILAR (CONCEPCION),Alfonso (Tangaoan)
GREGORIO DEL PILAR (CONCEPCION),Bussot
GREGORIO DEL PILAR (CONCEPCION),Concepcion
GREGORIO DEL PILAR (CONCEPCION),Dapdappig
GREGORIO DEL PILAR (CONCEPCION),Matue-Butarag
GREGORIO DEL PILAR (CONCEPCION),Poblacion Norte
GREGORIO DEL PILAR (CONCEPCION),Poblacion Sur
LIDLIDDA,Banucal
LIDLIDDA,Bequi-Walin
LIDLIDDA,Bugui
LIDLIDDA,Calungbuyan
LIDLIDDA,Carcarabasa
LIDLIDDA,Labut
LIDLIDDA,Poblacion Norte
LIDLIDDA,Poblacion Sur
LIDLIDDA,San Vicente
LIDLIDDA,Suysuyan
LIDLIDDA,Tay-ac
MAGSINGAL,Alangan
MAGSINGAL,Bacar
MAGSINGAL,Barbarit
MAGSINGAL,Bungro
MAGSINGAL,Cabaroan
MAGSINGAL,Cadanglaan
MAGSINGAL,Caraisan
MAGSINGAL,Dacutan
MAGSINGAL,Labut
MAGSINGAL,Maas-asin
MAGSINGAL,Macatcatud
MAGSINGAL,Namalpalan
MAGSINGAL,Manzante
MAGSINGAL,Maratudo
MAGSINGAL,Miramar
MAGSINGAL,Napo
MAGSINGAL,Pagsanaan Norte
MAGSINGAL,Pagsanaan Sur
MAGSINGAL,Panay Norte
MAGSINGAL,Panay Sur
MAGSINGAL,Patong
MAGSINGAL,Puro
MAGSINGAL,San Basilio (Pob.)
MAGSINGAL,San Clemente (Pob.)
MAGSINGAL,San Julian (Pob.)
MAGSINGAL,San Lucas (Pob.)
MAGSINGAL,San Ramon (Pob.)
